PDBCode	Description	Organism	Ligand Names	LigandIds	No.of Ligands	ChainNames	No of Chains	Ligand Dictionary	Chain Dictionary	Chain Lengths
2DW7	Bll6730 protein	Bradyrhizobium japonicum	['MAGNESIUM ION', 'S,R MESO-TARTARIC ACID', 'water']	['MG', 'SRT', 'HOH']	3	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P	16	{'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'I': 1, 'H': 1, 'K': 1, 'J': 1, 'M': 1, 'L': 1, 'O': 1, 'N': 1, 'P': 1}, 'HOH': {'A': 43, 'C': 61, 'B': 21, 'E': 29, 'D': 49, 'G': 41, 'F': 53, 'I': 20, 'H': 22, 'K': 29, 'J': 12, 'M': 12, 'L': 20, 'O': 5, 'N': 20, 'P': 12}, 'SRT': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'I': 1, 'H': 1, 'K': 1, 'J': 1, 'M': 1, 'L': 1, 'O': 1, 'N': 1, 'P': 1}}	{'A': {'MG': 1, 'HOH': 43, 'SRT': 1}, 'C': {'MG': 1, 'HOH': 61, 'SRT': 1}, 'B': {'MG': 1, 'HOH': 21, 'SRT': 1}, 'E': {'MG': 1, 'HOH': 29, 'SRT': 1}, 'D': {'MG': 1, 'HOH': 49, 'SRT': 1}, 'G': {'MG': 1, 'HOH': 41, 'SRT': 1}, 'F': {'MG': 1, 'HOH': 53, 'SRT': 1}, 'I': {'MG': 1, 'HOH': 20, 'SRT': 1}, 'H': {'MG': 1, 'HOH': 22, 'SRT': 1}, 'K': {'MG': 1, 'HOH': 29, 'SRT': 1}, 'J': {'MG': 1, 'HOH': 12, 'SRT': 1}, 'M': {'MG': 1, 'HOH': 12, 'SRT': 1}, 'L': {'MG': 1, 'HOH': 20, 'SRT': 1}, 'O': {'MG': 1, 'HOH': 5, 'SRT': 1}, 'N': {'MG': 1, 'HOH': 20, 'SRT': 1}, 'P': {'MG': 1, 'HOH': 12, 'SRT': 1}}	{'A': 389, 'C': 389, 'B': 389, 'E': 389, 'D': 389, 'G': 389, 'F': 389, 'I': 389, 'H': 389, 'K': 389, 'J': 389, 'M': 389, 'L': 389, 'O': 389, 'N': 389, 'P': 389}
2FKP	N-acylamino acid racemase	Deinococcus radiodurans	['water']	['HOH']	1	A,B,C,D	4	{'HOH': {'A': 266, 'C': 191, 'B': 253, 'D': 181}}	{'A': {'HOH': 266}, 'C': {'HOH': 191}, 'B': {'HOH': 253}, 'D': {'HOH': 181}}	{'A': 375, 'C': 375, 'B': 375, 'D': 375}
2FYM	Enolase	Escherichia coli	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,C,D,F	4	{'MG': {'A': 1, 'C': 1, 'B': 0, 'E': 0, 'D': 1, 'F': 1}, 'HOH': {'A': 481, 'C': 414, 'B': 30, 'E': 30, 'D': 451, 'F': 524}}	{'A': {'MG': 1, 'HOH': 481}, 'C': {'MG': 1, 'HOH': 414}, 'B': {'MG': 0, 'HOH': 30}, 'E': {'MG': 0, 'HOH': 30}, 'D': {'MG': 1, 'HOH': 451}, 'F': {'MG': 1, 'HOH': 524}}	{'A': 431, 'C': 431, 'B': 18, 'E': 18, 'D': 431, 'F': 431}
2GGG	N-acylamino acid racemase	Deinococcus radiodurans	['water']	['HOH']	1	A,B,C,D	4	{'HOH': {'A': 175, 'C': 167, 'B': 164, 'D': 171}}	{'A': {'HOH': 175}, 'C': {'HOH': 167}, 'B': {'HOH': 164}, 'D': {'HOH': 171}}	{'A': 375, 'C': 375, 'B': 375, 'D': 375}
2GGH	N-acylamino acid racemase	Deinococcus radiodurans	['MAGNESIUM ION', 'N~2~-ACETYL-L-GLUTAMINE', 'water']	['MG', 'NLQ', 'HOH']	3	A,B,C,D	4	{'NLQ': {'A': 0, 'C': 1, 'B': 0, 'D': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 200, 'C': 153, 'B': 198, 'D': 151}}	{'A': {'NLQ': 0, 'MG': 1, 'HOH': 200}, 'C': {'NLQ': 1, 'MG': 1, 'HOH': 153}, 'B': {'NLQ': 0, 'MG': 1, 'HOH': 198}, 'D': {'NLQ': 1, 'MG': 1, 'HOH': 151}}	{'A': 375, 'C': 375, 'B': 375, 'D': 375}
2GGI	N-acylamino acid racemase	Deinococcus radiodurans	['water']	['HOH']	1	A,B,C,D	4	{'HOH': {'A': 338, 'C': 307, 'B': 340, 'D': 307}}	{'A': {'HOH': 338}, 'C': {'HOH': 307}, 'B': {'HOH': 340}, 'D': {'HOH': 307}}	{'A': 375, 'C': 375, 'B': 375, 'D': 375}
2GGJ	N-acylamino acid racemase	Deinococcus radiodurans	['water']	['HOH']	1	A,B,C,D	4	{'HOH': {'A': 197, 'C': 184, 'B': 202, 'D': 178}}	{'A': {'HOH': 197}, 'C': {'HOH': 184}, 'B': {'HOH': 202}, 'D': {'HOH': 178}}	{'A': 375, 'C': 375, 'B': 375, 'D': 375}
2GSH	L-RHAMNONATE DEHYDRATASE	Salmonella typhimurium	['MAGNESIUM ION', 'GLYCEROL', 'water']	['MG', 'GOL', 'HOH']	3	A,B	2	{'GOL': {'A': 2, 'B': 0}, 'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 104, 'B': 101}}	{'A': {'GOL': 2, 'MG': 1, 'HOH': 104}, 'B': {'GOL': 0, 'MG': 1, 'HOH': 101}}	{'A': 414, 'B': 414}
2hne	L-fuconate dehydratase	Xanthomonas campestris pv. campestris	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 76, 'C': 63, 'B': 91, 'D': 65}}	{'A': {'MG': 1, 'HOH': 76}, 'C': {'MG': 1, 'HOH': 63}, 'B': {'MG': 1, 'HOH': 91}, 'D': {'MG': 1, 'HOH': 65}}	{'A': 436, 'C': 436, 'B': 436, 'D': 436}
2HXT	L-fuconate dehydratase	Xanthomonas campestris pv. campestris	['MAGNESIUM ION', '(2R,3R)-N,2,3,4-TETRAHYDROXYBUTANAMIDE', 'water']	['MG', 'EHM', 'HOH']	3	A	1	{'MG': {'A': 1}, 'EHM': {'A': 1}, 'HOH': {'A': 426}}	{'A': {'MG': 1, 'EHM': 1, 'HOH': 426}}	{'A': 441}
2HXU	L-fuconate dehydratase	Xanthomonas campestris pv. campestris	['MAGNESIUM ION', 'SULFATE ION', '6-DEOXY-L-GALACTONIC ACID', 'water']	['MG', 'SO4', 'LFC', 'HOH']	4	A	1	{'HOH': {'A': 355}, 'MG': {'A': 1}, 'SO4': {'A': 3}, 'LFC': {'A': 1}}	{'A': {'HOH': 355, 'MG': 1, 'SO4': 3, 'LFC': 1}}	{'A': 441}
2I5Q	L-rhamnonate dehydratase	Escherichia coli	['water']	['HOH']	1	A,B	2	{'HOH': {'A': 61, 'B': 49}}	{'A': {'HOH': 61}, 'B': {'HOH': 49}}	{'A': 415, 'B': 415}
2mnr	MANDELATE RACEMASE	Pseudomonas putida	['MANGANESE (II) ION', 'SULFATE ION', 'water']	['MN', 'SO4', 'HOH']	3	A	1	{'MN': {'A': 1}, 'SO4': {'A': 1}, 'HOH': {'A': 211}}	{'A': {'MN': 1, 'SO4': 1, 'HOH': 211}}	{'A': 357}
2OFJ	O-succinylbenzoate synthase	Escherichia coli str. K-12 substr.	['water']	['HOH']	1	A,B,C,D	4	{'HOH': {'A': 69, 'C': 23, 'B': 60, 'D': 27}}	{'A': {'HOH': 69}, 'C': {'HOH': 23}, 'B': {'HOH': 60}, 'D': {'HOH': 27}}	{'A': 323, 'C': 323, 'B': 323, 'D': 323}
2OG9	Mandelate racemase/muconate lactonizing enzyme	Polaromonas sp.	['CALCIUM ION', 'water']	['CA', 'HOH']	2	A,B	2	{'CA': {'A': 1, 'B': 1}, 'HOH': {'A': 169, 'B': 190}}	{'A': {'CA': 1, 'HOH': 169}, 'B': {'CA': 1, 'HOH': 190}}	{'A': 393, 'B': 393}
2okt	O-succinylbenzoic acid synthetase	Staphylococcus aureus subsp. aureus	['water']	['HOH']	1	A	1	{'HOH': {'A': 590}}	{'A': {'HOH': 590}}	{'A': 342}
2ola	O-succinylbenzoic acid synthetase	Staphylococcus aureus subsp. aureus	['water']	['HOH']	1	A	1	{'HOH': {'A': 60}}	{'A': {'HOH': 60}}	{'A': 342}
2ONE	ENOLASE	Staphylococcus aureus subsp. aureus	['MAGNESIUM ION', 'LITHIUM ION', '2-PHOSPHOGLYCERIC ACID', 'PHOSPHOENOLPYRUVATE', 'water']	['MG', 'LI', '2PG', 'PEP', 'HOH']	5	A,B	2	{'MG': {'A': 1, 'B': 1}, 'PEP': {'A': 0, 'B': 1}, 'HOH': {'A': 197, 'B': 159}, '2PG': {'A': 1, 'B': 0}, 'LI': {'A': 1, 'B': 0}}	{'A': {'MG': 1, 'PEP': 0, 'HOH': 197, '2PG': 1, 'LI': 1}, 'B': {'MG': 1, 'PEP': 1, 'HOH': 159, '2PG': 0, 'LI': 0}}	{'A': 436, 'B': 436}
2OPJ	O-succinylbenzoate-CoA synthase	Thermobifida fusca	['water']	['HOH']	1	A	1	{'HOH': {'A': 201}}	{'A': {'HOH': 201}}	{'A': 327}
2OQY	Muconate cycloisomerase	Oceanobacillus iheyensis	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B,C,D,E,F,G,H	8	{'MG': {'A': 2, 'C': 2, 'B': 2, 'E': 2, 'D': 2, 'G': 2, 'F': 2, 'H': 2}, 'HOH': {'A': 79, 'C': 72, 'B': 75, 'E': 81, 'D': 78, 'G': 80, 'F': 78, 'H': 83}}	{'A': {'MG': 2, 'HOH': 79}, 'C': {'MG': 2, 'HOH': 72}, 'B': {'MG': 2, 'HOH': 75}, 'E': {'MG': 2, 'HOH': 81}, 'D': {'MG': 2, 'HOH': 78}, 'G': {'MG': 2, 'HOH': 80}, 'F': {'MG': 2, 'HOH': 78}, 'H': {'MG': 2, 'HOH': 83}}	{'A': 391, 'C': 391, 'B': 391, 'E': 391, 'D': 391, 'G': 391, 'F': 391, 'H': 391}
2OZ3	Mandelate racemase/muconate lactonizing enzyme	Azotobacter vinelandii AvOP	['SODIUM ION', 'GLYCEROL', 'water']	['NA', 'GOL', 'HOH']	3	A,B,C,D,E,F,G,H	8	{'NA': {'A': 0, 'C': 0, 'B': 1, 'E': 0, 'D': 1, 'G': 0, 'F': 0, 'H': 0}, 'HOH': {'A': 242, 'C': 228, 'B': 228, 'E': 158, 'D': 149, 'G': 149, 'F': 166, 'H': 156}, 'GOL': {'A': 9, 'C': 6, 'B': 4, 'E': 1, 'D': 4, 'G': 2, 'F': 2, 'H': 3}}	{'A': {'NA': 0, 'HOH': 242, 'GOL': 9}, 'C': {'NA': 0, 'HOH': 228, 'GOL': 6}, 'B': {'NA': 1, 'HOH': 228, 'GOL': 4}, 'E': {'NA': 0, 'HOH': 158, 'GOL': 1}, 'D': {'NA': 1, 'HOH': 149, 'GOL': 4}, 'G': {'NA': 0, 'HOH': 149, 'GOL': 2}, 'F': {'NA': 0, 'HOH': 166, 'GOL': 2}, 'H': {'NA': 0, 'HOH': 156, 'GOL': 3}}	{'A': 404, 'C': 404, 'B': 404, 'E': 404, 'D': 404, 'G': 404, 'F': 404, 'H': 404}
2ozt	Tlr1174 protein	Synechococcus elongatus	['PHOSPHATE ION', 'SODIUM ION', 'water']	['PO4', 'NA', 'HOH']	3	A	1	{'NA': {'A': 1}, 'PO4': {'A': 2}, 'HOH': {'A': 382}}	{'A': {'NA': 1, 'PO4': 2, 'HOH': 382}}	{'A': 332}
2P0I	L-rhamnonate dehydratase	Gibberella zeae	['SULFATE ION', 'GLYCEROL', 'water']	['SO4', 'GOL', 'HOH']	3	A,B,C,D,E,F,G,H	8	{'GOL': {'A': 4, 'C': 0, 'B': 1, 'E': 2, 'D': 2, 'G': 5, 'F': 4, 'H': 2}, 'SO4': {'A': 1, 'C': 1, 'B': 2, 'E': 3, 'D': 2, 'G': 0, 'F': 1, 'H': 2}, 'HOH': {'A': 146, 'C': 126, 'B': 151, 'E': 121, 'D': 128, 'G': 131, 'F': 107, 'H': 115}}	{'A': {'GOL': 4, 'SO4': 1, 'HOH': 146}, 'C': {'GOL': 0, 'SO4': 1, 'HOH': 126}, 'B': {'GOL': 1, 'SO4': 2, 'HOH': 151}, 'E': {'GOL': 2, 'SO4': 3, 'HOH': 121}, 'D': {'GOL': 2, 'SO4': 2, 'HOH': 128}, 'G': {'GOL': 5, 'SO4': 0, 'HOH': 131}, 'F': {'GOL': 4, 'SO4': 1, 'HOH': 107}, 'H': {'GOL': 2, 'SO4': 2, 'HOH': 115}}	{'A': 456, 'C': 456, 'B': 456, 'E': 456, 'D': 456, 'G': 456, 'F': 456, 'H': 456}
2P3Z	L-rhamnonate dehydratase	Salmonella typhimurium LT2	['SODIUM ION', 'water']	['NA', 'HOH']	2	A,B	2	{'NA': {'A': 1, 'B': 1}, 'HOH': {'A': 397, 'B': 271}}	{'A': {'NA': 1, 'HOH': 397}, 'B': {'NA': 1, 'HOH': 271}}	{'A': 415, 'B': 415}
2P8B	Mandelate racemase/muconate lactonizing enzyme family protein	Bacillus cereus ATCC 14579	['MAGNESIUM ION', 'N-SUCCINYL LYSINE', 'water']	['MG', 'NSK', 'HOH']	3	A	1	{'MG': {'A': 1}, 'NSK': {'A': 1}, 'HOH': {'A': 239}}	{'A': {'MG': 1, 'NSK': 1, 'HOH': 239}}	{'A': 369}
2P8C	Mandelate racemase/muconate lactonizing enzyme family protein	Bacillus cereus ATCC 14579	['MAGNESIUM ION', 'N~2~-(3-CARBOXYPROPANOYL)-L-ARGININE', 'water']	['MG', 'SUG', 'HOH']	3	A	1	{'SUG': {'A': 1}, 'MG': {'A': 1}, 'HOH': {'A': 165}}	{'A': {'SUG': 1, 'MG': 1, 'HOH': 165}}	{'A': 369}
2P88	Mandelate racemase/muconate lactonizing enzyme family protein	Bacillus cereus ATCC 14579	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B,C,D,E,F,G,H	8	{'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'HOH': {'A': 32, 'C': 48, 'B': 38, 'E': 37, 'D': 40, 'G': 51, 'F': 52, 'H': 46}}	{'A': {'MG': 1, 'HOH': 32}, 'C': {'MG': 1, 'HOH': 48}, 'B': {'MG': 1, 'HOH': 38}, 'E': {'MG': 1, 'HOH': 37}, 'D': {'MG': 1, 'HOH': 40}, 'G': {'MG': 1, 'HOH': 51}, 'F': {'MG': 1, 'HOH': 52}, 'H': {'MG': 1, 'HOH': 46}}	{'A': 369, 'C': 369, 'B': 369, 'E': 369, 'D': 369, 'G': 369, 'F': 369, 'H': 369}
2PA6	Enolase	Methanocaldococcus jannaschii	['water']	['HOH']	1	A,B	2	{'HOH': {'A': 442, 'B': 407}}	{'A': {'HOH': 442}, 'B': {'HOH': 407}}	{'A': 427, 'B': 427}
2pge	MenC	Desulfotalea psychrophila LSv54	['water']	['HOH']	1	A	1	{'HOH': {'A': 245}}	{'A': {'HOH': 245}}	{'A': 377}
2pmq	Mandelate racemase/muconate lactonizing enzyme	Roseovarius sp.	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B	2	{'MG': {'A': 3, 'B': 2}, 'HOH': {'A': 364, 'B': 323}}	{'A': {'MG': 3, 'HOH': 364}, 'B': {'MG': 2, 'HOH': 323}}	{'A': 377, 'B': 377}
2PP0	L-talarate/Galactarate Dehydratase	Salmonella typhimurium	['GLYCEROL', 'water']	['GOL', 'HOH']	2	A,B,C	3	{'GOL': {'A': 1, 'C': 1, 'B': 1}, 'HOH': {'A': 207, 'C': 120, 'B': 102}}	{'A': {'GOL': 1, 'HOH': 207}, 'C': {'GOL': 1, 'HOH': 120}, 'B': {'GOL': 1, 'HOH': 102}}	{'A': 398, 'C': 398, 'B': 398}
2PP1	L-talarate/galactarate dehydratase	Salmonella typhimurium	['MAGNESIUM ION', '(2R,3S,4R)-2,3,4-TRIHYDROXY-5-(HYDROXYAMINO)-5-OXOPENTANOIC ACID', 'water']	['MG', 'LLH', 'HOH']	3	A,B,C,D,E,F	6	{'MG': {'A': 1, 'C': 0, 'B': 1, 'E': 0, 'D': 0, 'F': 0}, 'LLH': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'F': 1}, 'HOH': {'A': 143, 'C': 71, 'B': 137, 'E': 90, 'D': 65, 'F': 85}}	{'A': {'MG': 1, 'LLH': 1, 'HOH': 143}, 'C': {'MG': 0, 'LLH': 1, 'HOH': 71}, 'B': {'MG': 1, 'LLH': 1, 'HOH': 137}, 'E': {'MG': 0, 'LLH': 1, 'HOH': 90}, 'D': {'MG': 0, 'LLH': 1, 'HOH': 65}, 'F': {'MG': 0, 'LLH': 1, 'HOH': 85}}	{'A': 398, 'C': 398, 'B': 398, 'E': 398, 'D': 398, 'F': 398}
2PP3	L-talarate/galactarate dehydratase	Salmonella typhimurium	['MAGNESIUM ION', 'L-GLUCARIC ACID', 'water']	['MG', 'LGT', 'HOH']	3	A,B,C	3	{'MG': {'A': 1, 'C': 1, 'B': 1}, 'HOH': {'A': 152, 'C': 73, 'B': 78}, 'LGT': {'A': 1, 'C': 1, 'B': 1}}	{'A': {'MG': 1, 'HOH': 152, 'LGT': 1}, 'C': {'MG': 1, 'HOH': 73, 'LGT': 1}, 'B': {'MG': 1, 'HOH': 78, 'LGT': 1}}	{'A': 398, 'C': 398, 'B': 398}
2PSN	Alpha-enolase	Homo sapiens	['MAGNESIUM ION', 'PHOSPHATE ION', 'water']	['MG', 'PO4', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 2, 'C': 2, 'B': 2, 'D': 2}, 'PO4': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 194, 'C': 132, 'B': 170, 'D': 98}}	{'A': {'MG': 2, 'PO4': 1, 'HOH': 194}, 'C': {'MG': 2, 'PO4': 1, 'HOH': 132}, 'B': {'MG': 2, 'PO4': 1, 'HOH': 170}, 'D': {'MG': 2, 'PO4': 1, 'HOH': 98}}	{'A': 434, 'C': 434, 'B': 434, 'D': 434}
2PTW	Enolase	Trypanosoma brucei	['ZINC ION', 'SULFATE ION', '1,2-ETHANEDIOL', 'water']	['ZN', 'SO4', 'EDO', 'HOH']	4	A	1	{'ZN': {'A': 2}, 'SO4': {'A': 1}, 'HOH': {'A': 308}, 'EDO': {'A': 3}}	{'A': {'ZN': 2, 'SO4': 1, 'HOH': 308, 'EDO': 3}}	{'A': 432}
2PTX	Enolase	Trypanosoma brucei	['ZINC ION', 'SULFATE ION', '1,2-ETHANEDIOL', 'water']	['ZN', 'SO4', 'EDO', 'HOH']	4	A	1	{'ZN': {'A': 2}, 'SO4': {'A': 1}, 'HOH': {'A': 382}, 'EDO': {'A': 4}}	{'A': {'ZN': 2, 'SO4': 1, 'HOH': 382, 'EDO': 4}}	{'A': 432}
2PTY	Enolase	Trypanosoma brucei	['ZINC ION', 'PHOSPHOENOLPYRUVATE', '1,2-ETHANEDIOL', 'water']	['ZN', 'PEP', 'EDO', 'HOH']	4	A	1	{'ZN': {'A': 2}, 'PEP': {'A': 1}, 'EDO': {'A': 1}, 'HOH': {'A': 179}}	{'A': {'ZN': 2, 'PEP': 1, 'EDO': 1, 'HOH': 179}}	{'A': 432}
2PTZ	Enolase	Trypanosoma brucei	['ZINC ION', 'PHOSPHONOACETOHYDROXAMIC ACID', '1,2-ETHANEDIOL', 'water']	['ZN', 'PAH', 'EDO', 'HOH']	4	A	1	{'PAH': {'A': 1}, 'ZN': {'A': 3}, 'EDO': {'A': 1}, 'HOH': {'A': 421}}	{'A': {'PAH': 1, 'ZN': 3, 'EDO': 1, 'HOH': 421}}	{'A': 432}
2PU0	Enolase	Trypanosoma brucei	['ZINC ION', 'PHOSPHONOACETOHYDROXAMIC ACID', '1,2-ETHANEDIOL', 'water']	['ZN', 'PAH', 'EDO', 'HOH']	4	A	1	{'PAH': {'A': 1}, 'ZN': {'A': 3}, 'EDO': {'A': 3}, 'HOH': {'A': 257}}	{'A': {'PAH': 1, 'ZN': 3, 'EDO': 3, 'HOH': 257}}	{'A': 432}
2PU1	Enolase	Trypanosoma brucei	['ZINC ION', '[(1S)-1-FLUORO-2-(HYDROXYAMINO)-2-OXOETHYL]PHOSPHONIC ACID', '1,2-ETHANEDIOL', 'water']	['ZN', 'FSG', 'EDO', 'HOH']	4	A	1	{'ZN': {'A': 3}, 'EDO': {'A': 1}, 'HOH': {'A': 354}, 'FSG': {'A': 1}}	{'A': {'ZN': 3, 'EDO': 1, 'HOH': 354, 'FSG': 1}}	{'A': 432}
2QDD	Mandelate racemase/muconate lactonizing enzyme	Roseovarius nubinhibens	['GLYCEROL', 'water']	['GOL', 'HOH']	2	A,B	2	{'GOL': {'A': 1, 'B': 1}, 'HOH': {'A': 157, 'B': 166}}	{'A': {'GOL': 1, 'HOH': 157}, 'B': {'GOL': 1, 'HOH': 166}}	{'A': 378, 'B': 378}
2QJJ	Mandelate racemase/muconate lactonizing enzyme	Novosphingobium aromaticivorans	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 220, 'C': 211, 'B': 217, 'D': 209}}	{'A': {'MG': 1, 'HOH': 220}, 'C': {'MG': 1, 'HOH': 211}, 'B': {'MG': 1, 'HOH': 217}, 'D': {'MG': 1, 'HOH': 209}}	{'A': 402, 'C': 402, 'B': 402, 'D': 402}
2QJM	Mandelate racemase/muconate lactonizing enzyme	Novosphingobium aromaticivorans	['MAGNESIUM ION', 'D-MANNONIC ACID', 'water']	['MG', 'CS2', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 164, 'C': 159, 'B': 177, 'D': 145}, 'CS2': {'A': 1, 'C': 1, 'B': 1, 'D': 1}}	{'A': {'MG': 1, 'HOH': 164, 'CS2': 1}, 'C': {'MG': 1, 'HOH': 159, 'CS2': 1}, 'B': {'MG': 1, 'HOH': 177, 'CS2': 1}, 'D': {'MG': 1, 'HOH': 145, 'CS2': 1}}	{'A': 402, 'C': 402, 'B': 402, 'D': 402}
2QJN	Mandelate racemase/muconate lactonizing enzyme	Novosphingobium aromaticivorans	['MAGNESIUM ION', '2-KETO-3-DEOXYGLUCONATE', 'water']	['MG', 'KDG', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'KDG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 209, 'C': 208, 'B': 230, 'D': 202}}	{'A': {'MG': 1, 'KDG': 1, 'HOH': 209}, 'C': {'MG': 1, 'KDG': 1, 'HOH': 208}, 'B': {'MG': 1, 'KDG': 1, 'HOH': 230}, 'D': {'MG': 1, 'KDG': 1, 'HOH': 202}}	{'A': 402, 'C': 402, 'B': 402, 'D': 402}
2QVH	O-succinylbenzoate-CoA synthase	Thermobifida fusca	['MAGNESIUM ION', '2-SUCCINYLBENZOATE', 'water']	['MG', 'OSB', 'HOH']	3	A,B	2	{'MG': {'A': 1, 'B': 1}, 'OSB': {'A': 1, 'B': 1}, 'HOH': {'A': 138, 'B': 148}}	{'A': {'MG': 1, 'OSB': 1, 'HOH': 138}, 'B': {'MG': 1, 'OSB': 1, 'HOH': 148}}	{'A': 327, 'B': 327}
2XGZ	ENOLASE 1	SACCHAROMYCES CEREVISIAE	['MAGNESIUM ION', 'PHOSPHOENOLPYRUVATE', 'water']	['MG', 'PEP', 'HOH']	3	A,B	2	{'MG': {'A': 3, 'B': 2}, 'PEP': {'A': 1, 'B': 1}, 'HOH': {'A': 406, 'B': 393}}	{'A': {'MG': 3, 'PEP': 1, 'HOH': 406}, 'B': {'MG': 2, 'PEP': 1, 'HOH': 393}}	{'A': 443, 'B': 443}
2XH0	ENOLASE 1	SACCHAROMYCES CEREVISIAE	['MAGNESIUM ION', 'PHOSPHOENOLPYRUVATE', 'water']	['MG', 'PEP', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'PEP': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 449, 'C': 405, 'B': 411, 'D': 304}}	{'A': {'MG': 1, 'PEP': 1, 'HOH': 449}, 'C': {'MG': 1, 'PEP': 1, 'HOH': 405}, 'B': {'MG': 1, 'PEP': 1, 'HOH': 411}, 'D': {'MG': 1, 'PEP': 1, 'HOH': 304}}	{'A': 443, 'C': 443, 'B': 443, 'D': 443}
2XH2	ENOLASE 1	SACCHAROMYCES CEREVISIAE	['MAGNESIUM ION', '2-PHOSPHOGLYCERIC ACID', 'water']	['MG', '2PG', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 691, 'C': 624, 'B': 625, 'D': 627}, '2PG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}}	{'A': {'MG': 1, 'HOH': 691, '2PG': 1}, 'C': {'MG': 1, 'HOH': 624, '2PG': 1}, 'B': {'MG': 1, 'HOH': 625, '2PG': 1}, 'D': {'MG': 1, 'HOH': 627, '2PG': 1}}	{'A': 443, 'C': 443, 'B': 443, 'D': 443}
2XH4	ENOLASE 1	SACCHAROMYCES CEREVISIAE	['MAGNESIUM ION', '2-PHOSPHOGLYCERIC ACID', 'water']	['MG', '2PG', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 3, 'D': 2}, 'HOH': {'A': 508, 'C': 492, 'B': 377, 'D': 316}, '2PG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}}	{'A': {'MG': 1, 'HOH': 508, '2PG': 1}, 'C': {'MG': 1, 'HOH': 492, '2PG': 1}, 'B': {'MG': 3, 'HOH': 377, '2PG': 1}, 'D': {'MG': 2, 'HOH': 316, '2PG': 1}}	{'A': 443, 'C': 443, 'B': 443, 'D': 443}
2XH7	ENOLASE 1	SACCHAROMYCES CEREVISIAE	['MAGNESIUM ION', '2-PHOSPHOGLYCERIC ACID', 'water']	['MG', '2PG', 'HOH']	3	A,B	2	{'MG': {'A': 5, 'B': 5}, 'HOH': {'A': 381, 'B': 366}, '2PG': {'A': 1, 'B': 1}}	{'A': {'MG': 5, 'HOH': 381, '2PG': 1}, 'B': {'MG': 5, 'HOH': 366, '2PG': 1}}	{'A': 443, 'B': 443}
2xsx	BETA-ENOLASE	HOMO SAPIENS	['MAGNESIUM ION', 'PHOSPHATE ION', '1,2-ETHANEDIOL', 'water']	['MG', 'PO4', 'EDO', 'HOH']	4	A,B	2	{'MG': {'A': 1, 'B': 1}, 'PO4': {'A': 1, 'B': 1}, 'HOH': {'A': 559, 'B': 524}, 'EDO': {'A': 10, 'B': 9}}	{'A': {'MG': 1, 'PO4': 1, 'HOH': 559, 'EDO': 10}, 'B': {'MG': 1, 'PO4': 1, 'HOH': 524, 'EDO': 9}}	{'A': 435, 'B': 435}
